,PersonNumber,FirstName,LastName,GenderAsString,ParlGroupName,PartyName,PartyAbbreviation,DateJoining,DateLeaving,DateElection,DateOath,DateResignation,DateOfBirth,DateOfDeath
437,500,Theophil,Pfister,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1942-07-16T00:00:00,2012-08-06T00:00:00
438,501,Barbara,Polla,f,Groupe libéral,Parti libéral démocrate,PLD,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1950-03-07T00:00:00,
439,502,Kathy,Riklin,f,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1952-10-21T00:00:00,
440,503,Meinrado,Robbiani,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1951-03-20T00:00:00,
441,504,Stéphane,Rossini,m,Groupe socialiste,Parti socialiste suisse,PSS,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1963-08-09T00:00:00,
442,505,Claude,Ruey,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1949-11-29T00:00:00,
443,506,Marcel,Scherer,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1952-01-29T00:00:00,
444,508,Johann N.,Schneider-Ammann,m,,PLR.Les Libéraux-Radicaux,PLR,2017-01-01T00:00:00,2018-12-31T00:00:00,2010-09-22T00:00:00,2017-01-01T00:00:00,2018-12-31T00:00:00,1952-02-18T00:00:00,
445,509,Jean Jacques,Schwaab,m,Groupe socialiste,Parti socialiste suisse,PSS,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1948-12-31T00:00:00,
446,510,Ulrich,Siegrist,m,Non inscrit,Union Démocratique du Centre,UDC,2006-05-12T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1945-06-04T00:00:00,
447,511,Chiara,Simoneschi-Cortesi,f,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1946-04-21T00:00:00,
448,512,Simonetta,Sommaruga,f,,Parti socialiste suisse,PSS,2021-01-01T00:00:00,2022-12-31T00:00:00,2010-09-22T00:00:00,2021-01-01T00:00:00,2022-12-31T00:00:00,1960-05-14T00:00:00,
449,513,Peter,Spuhler,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2012-01-22T00:00:00,2012-12-31T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2012-12-31T00:00:00,1959-01-09T00:00:00,
450,514,Jürg,Stahl,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2015-11-30T00:00:00,2019-06-02T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-06-02T00:00:00,1968-01-16T00:00:00,
451,515,Heiner,Studer,m,Groupe PEV/UDF,Parti évangélique suisse,PEV,2006-03-28T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1949-05-16T00:00:00,
452,516,Pierre,Triponez,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1943-08-07T00:00:00,
453,517,Jean-Claude,Vaudroz,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-10-24T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1953-05-23T00:00:00,2007-03-07T00:00:00
454,518,René,Vaudroz,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-11-09T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1947-07-21T00:00:00,
455,519,Hansjörg,Walter,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2015-11-30T00:00:00,2017-11-26T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2017-11-26T00:00:00,1951-02-05T00:00:00,
456,520,Hansruedi,Wandfluh,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2014-12-31T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-12-31T00:00:00,1952-01-16T00:00:00,
457,521,Kurt,Wasserfallen,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2006-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-12-02T00:00:00,1947-04-27T00:00:00,2006-12-02T00:00:00
458,522,Ursula,Wyss,f,Groupe socialiste,Parti socialiste suisse,PSS,2012-02-20T00:00:00,2013-03-03T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2013-03-03T00:00:00,1973-02-08T00:00:00,
459,523,Guido,Zäch,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1999-12-06T00:00:00,2003-07-11T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-07-11T00:00:00,1935-10-01T00:00:00,
460,524,Valérie,Garbani,f,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1966-09-19T00:00:00,
461,525,Roberto,Zanetti,m,Groupe socialiste,Parti socialiste suisse,PSS,2019-12-02T00:00:00,,2019-11-17T00:00:00,2019-12-02T00:00:00,,1954-12-14T00:00:00,
462,526,Bruno,Zuppiger,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2012-01-22T00:00:00,2012-09-10T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2012-09-10T00:00:00,1952-02-24T00:00:00,2016-02-19T00:00:00
463,527,Pierre,Tillmanns,m,Groupe socialiste,Parti socialiste suisse,PSS,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1939-11-26T00:00:00,
464,528,Peter,Briner,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1943-11-01T00:00:00,
465,529,Jean-Claude,Cornu,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1956-04-01T00:00:00,
466,530,Marianne,Slongo,f,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1948-06-09T00:00:00,
467,531,Hansruedi,Stadler,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2010-05-31T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2010-05-31T00:00:00,1953-08-06T00:00:00,
468,532,Philipp,Stähelin,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1944-04-02T00:00:00,
469,534,Rico,Wenger,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,1999-12-06T00:00:00,2002-06-10T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2002-06-10T00:00:00,1944-09-02T00:00:00,2002-06-10T00:00:00
470,535,Michèle-Irène,Berger,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1944-12-03T00:00:00,
471,536,Jean,Studer,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2005-11-28T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2005-11-28T00:00:00,1957-11-12T00:00:00,
472,537,Rolf,Escher,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-11-02T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1941-04-14T00:00:00,
473,538,Hermann,Bürgi,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1946-02-18T00:00:00,
474,539,Hans,Fünfschilling,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1940-01-19T00:00:00,
475,540,Filippo,Lombardi,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-11-15T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1956-05-29T00:00:00,
476,541,Thomas,Pfisterer,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1941-05-07T00:00:00,
477,542,Christoph,Mörgeli,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1960-07-16T00:00:00,
478,543,Felix,Walker,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2006-12-03T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-12-03T00:00:00,1935-03-06T00:00:00,
479,551,Barbara,Marty Kälin,f,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1954-03-28T00:00:00,2022-11-27T00:00:00
644,724,Daniel,Brélaz,m,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2019-12-02T00:00:00,2022-02-17T00:00:00,2019-10-20T00:00:00,2019-12-02T00:00:00,2022-02-27T00:00:00,1950-01-04T00:00:00,
713,797,Walter,Donzé,m,Le Groupe du Centre. Le Centre. PEV.,Parti évangélique suisse,PEV,2007-12-03T00:00:00,2010-09-12T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2010-09-12T00:00:00,1946-05-05T00:00:00,
714,801,Fabio,Abate,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-11-15T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1966-01-04T00:00:00,
715,804,Ruth,Metzler-Arnold,f,,Parti démocrate-chrétien suisse,PDC,2003-01-01T00:00:00,2003-12-31T00:00:00,1999-03-11T00:00:00,2003-01-01T00:00:00,2003-12-31T00:00:00,1964-05-23T00:00:00,
716,805,Hans,Lauri,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1944-10-26T00:00:00,
717,806,Maya,Graf,f,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2019-12-04T00:00:00,,2019-11-24T00:00:00,2019-12-04T00:00:00,,1962-02-28T00:00:00,
718,809,Christine,Wirz-von Planta,f,Groupe libéral,Parti libéral démocrate,PLD,2001-09-17T00:00:00,2003-11-30T00:00:00,2001-09-17T00:00:00,2001-09-17T00:00:00,2003-11-30T00:00:00,1944-03-26T00:00:00,
719,817,Adriano,Imfeld,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1954-12-04T00:00:00,
720,820,Ernst,Schibli,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2014-05-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2014-05-05T00:00:00,2015-11-29T00:00:00,1952-08-16T00:00:00,
721,823,Pascale,Bruderer Wyss,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1977-07-28T00:00:00,
722,824,Pierre,Salvi,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-05-29T00:00:00,2003-11-09T00:00:00,2003-12-01T00:00:00,2007-06-03T00:00:00,1957-08-07T00:00:00,
723,825,Hannes,Germann,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2019-12-02T00:00:00,,2019-10-20T00:00:00,2019-12-02T00:00:00,,1956-07-01T00:00:00,
725,827,Micheline,Calmy-Rey,f,,Parti socialiste suisse,PSS,2011-01-01T00:00:00,2011-12-31T00:00:00,2002-12-04T00:00:00,2011-01-01T00:00:00,2011-12-31T00:00:00,1945-07-08T00:00:00,
727,1059,Franz,Brun,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1943-06-18T00:00:00,
728,1065,Ueli,Leuenberger,m,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1952-03-26T00:00:00,
729,1071,Ruth,Humbel,f,Le Groupe du Centre. Le Centre. PEV.,Le Centre,M-E,2019-12-02T00:00:00,2023-02-26T00:00:00,2019-10-20T00:00:00,2019-12-02T00:00:00,2023-02-26T00:00:00,1957-07-23T00:00:00,
730,1103,Gabi,Huber,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1956-02-29T00:00:00,
731,1104,Jakob,Büchler,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2015-11-30T00:00:00,2018-03-08T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2018-03-08T00:00:00,1952-05-29T00:00:00,
732,1105,Attilio,Bignasca,m,Groupe de l'Union démocratique du Centre,Lega dei Ticinesi,Lega,2007-12-03T00:00:00,2009-12-31T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2009-12-31T00:00:00,1943-11-01T00:00:00,2020-03-29T00:00:00
733,1106,Brigitte,Häberli-Koller,f,Le Groupe du Centre. Le Centre. PEV.,Le Centre,M-E,2019-12-02T00:00:00,,2019-10-20T00:00:00,2019-12-02T00:00:00,,1958-08-23T00:00:00,
734,1107,Madeleine,Amgwerd,f,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1946-08-01T00:00:00,
735,1108,Guy,Parmelin,m,,Union Démocratique du Centre,UDC,2022-01-01T00:00:00,,2015-12-09T00:00:00,2022-01-01T00:00:00,,1959-11-09T00:00:00,
736,1109,Gerhard,Pfister,m,Le Groupe du Centre. Le Centre. PEV.,Le Centre,M-E,2019-12-02T00:00:00,,2019-10-20T00:00:00,2019-12-02T00:00:00,,1962-10-01T00:00:00,
737,1110,Daniel,Vischer,m,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1950-01-16T00:00:00,2017-01-17T00:00:00
738,1111,Felix,Müri,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1958-01-22T00:00:00,
739,1112,Geri,Müller,m,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1960-10-27T00:00:00,
740,1113,Filippo,Leutenegger,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2011-12-05T00:00:00,2014-05-06T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-05-06T00:00:00,1952-11-25T00:00:00,
741,1114,Marianne,Kleiner,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1947-05-29T00:00:00,
742,1115,André,Reymond,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1940-01-07T00:00:00,
743,1116,Didier,Burkhalter,m,,PLR.Les Libéraux-Radicaux,PLR,2015-01-01T00:00:00,2017-10-31T00:00:00,2009-09-16T00:00:00,2015-01-01T00:00:00,2017-10-31T00:00:00,1960-04-17T00:00:00,
744,1117,Jean-René,Germanier,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1958-12-18T00:00:00,
745,1118,Otto,Ineichen,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2011-12-05T00:00:00,2012-06-06T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2012-06-06T00:00:00,1941-06-08T00:00:00,2012-06-06T00:00:00
746,1119,Jean-François,Rime,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1950-06-28T00:00:00,
747,1120,Carlo,Sommaruga,m,Groupe socialiste,Parti socialiste suisse,PSS,2019-12-02T00:00:00,,2019-11-10T00:00:00,2019-12-02T00:00:00,,1959-07-08T00:00:00,
748,1121,Jasmin,Hutter-Hutter,f,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2009-12-31T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2009-12-31T00:00:00,1978-06-11T00:00:00,
749,1122,Kurt,Fluri,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2019-12-02T00:00:00,,2019-10-20T00:00:00,2019-12-02T00:00:00,,1955-08-19T00:00:00,
750,1123,Pierre-François,Veillon,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1950-04-30T00:00:00,
751,1124,Dominique,de Buman,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1956-04-28T00:00:00,
752,1125,Chantal,Galladé,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2018-12-06T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2018-12-06T00:00:00,1972-12-17T00:00:00,
753,1126,Markus,Hutter,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2011-12-05T00:00:00,2014-05-08T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-05-08T00:00:00,1957-02-20T00:00:00,
754,1127,Oskar,Freysinger,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1960-06-12T00:00:00,
755,1128,Markus,Wäfler,m,Groupe PEV/UDF,Union Démocratique Féderale,UDF,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1948-12-21T00:00:00,
756,1129,Silvia,Schenker,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1954-01-17T00:00:00,
757,1130,Reto,Wehrli,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1965-02-01T00:00:00,
758,1131,Evi,Allemann,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2018-05-28T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2018-05-28T00:00:00,1978-07-16T00:00:00,
759,1132,Jean-Noël,Rey,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1949-12-23T00:00:00,2016-01-15T00:00:00
760,1133,Christophe,Darbellay,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1971-03-07T00:00:00,
761,1134,Luc,Recordon,m,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-11-13T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1955-09-20T00:00:00,
762,1135,Adrian,Amstutz,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2017-11-17T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1953-12-02T00:00:00,
763,1136,Walter,Jermann,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1945-05-26T00:00:00,
764,1137,Walter,Müller,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1948-04-25T00:00:00,
765,1138,Martin,Bäumle,m,Groupe vert'libéral,Parti vert'libéral,pvl,2019-12-02T00:00:00,,2019-10-20T00:00:00,2019-12-02T00:00:00,,1964-06-03T00:00:00,
766,1139,Christa,Markwalder,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2019-12-02T00:00:00,,2019-10-20T00:00:00,2019-12-02T00:00:00,,1975-07-27T00:00:00,
767,1140,Laura,Sadis,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-05-29T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-06-03T00:00:00,1961-03-11T00:00:00,
768,1141,Philipp,Müller,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-11-22T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1952-09-05T00:00:00,
769,1142,Walter,Wobmann,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2019-12-02T00:00:00,,2019-10-20T00:00:00,2019-12-02T00:00:00,,1957-11-21T00:00:00,
770,1143,Sep,Cathomas,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1945-04-02T00:00:00,
771,1144,Martine,Brunschwig Graf,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1950-03-16T00:00:00,
772,1145,Yvan,Perrin,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2013-08-31T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2013-08-31T00:00:00,1966-12-09T00:00:00,
773,1146,Marianne,Huguenin,f,Non inscrit,Parti Suisse du travail,PdT,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1950-05-01T00:00:00,
774,1147,Margret,Kiener Nellen,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1953-04-17T00:00:00,
775,1148,Géraldine,Savary,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-11-08T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1968-11-14T00:00:00,
776,1149,Urs,Schwaller,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2014-02-21T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1952-10-31T00:00:00,
777,1150,Christian,Levrat,m,Groupe socialiste,Parti socialiste suisse,PSS,2019-12-02T00:00:00,2021-10-01T00:00:00,2019-11-10T00:00:00,2019-12-02T00:00:00,2021-10-01T00:00:00,1970-07-07T00:00:00,
778,1151,Josy,Gyr-Steiner,f,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-04-18T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-04-18T00:00:00,1949-10-10T00:00:00,2007-04-18T00:00:00
779,1152,André,Daguet,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2011-05-29T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-05-29T00:00:00,1947-06-01T00:00:00,2015-04-30T00:00:00
